Code,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone
P2AHB,A H Bracks Public Library,,,,,"Melville Recreation Centre, Cnr Stock Road & Canning Highway",MELVILLE,WA,6156,9364 0115
P3ALB,Albany Public Library,York Street,ALBANY,WA,6330,PO Box 484,ALBANY,WA,6330,9841 9390
P5ALT,Altone Park Public Library,,,,,332 Benara Road,BEECHBORO,WA,6063,9377 7760
P4AMV,Amherst Village Public Library,Cnr Warton Road &amp; Holmes Street,SOUTHERN RIVER,WA,6110,P.O. Box 662,GOSNELLS,WA,6990,9498 9498
P9ARM,Armadale Administration,7 Orchard Ave,ARMADALE,WA,6112,Locked Bag 2,ARMADALE,WA,6992,9399 0105
P4ARM,Armadale Public Library,Shop 64 / 10 Orchard Ave,ARMADALE,WA,6112,Locked Bag 2,ARMADALE,WA,6992,9399 0125
P1AUG,Augusta Public Library,Allnut Terrace,AUGUSTA,WA,6290,c/o PO Augusta,AUGUSTA  WA,WA,6290,9780 5670
P1AUS,Australind Public Library,Paris Road,AUSTRALIND,WA,6230,PO Box A102,AUSTRALIND,WA,6230,9797 1430
P2BAD,Badgingarra Public Library,Community Hall,BADGINGARRA,WA,6521,C/- Post Office,BADGINGARRA,WA,6521,9652 9233
P4BVS,Baldivis Library and Community Centre,17 Settlers Avenue,Baldivis,WA,6171,PO Box 4146,Baldivis,WA,6171,9591 0800
P1BAL,Balingup Public Library,,,,,Roberts Road,BALINGUP,WA,6253,9764 1037
P5BLJ,Ballajura Public Library,,,,,Cnr Kingfisher & Illawarra Cres,BALLAJURA,WA,6066,9249 1488
P1BAS,Bassendean Public Library,,,,,46 Old Perth Road,BASSENDEAN,WA,6054,9279 2966
P9BAY,Bayswater Administration,7 Dewar Street,Morley,WA,6062,PO Box 508,Morley ,WA,6943,9272 0980
P1BAY,Bayswater Public Library,25 King William Street,BAYSWATER,WA,6053,PO Box 53,BAYSWATER,WA,6933,9271 2340
P5BEA,Beacon Public Library,"Beacon Central, 11 Rowlands Street",BEACON,WA,6472,,,,,9686 1014
P2BEL,Belmont Public Library,215 Wright St,CLOVERDALE,WA,6105,Locked Bag 379,CLOVERDALE,WA,6985,9477 7150
P5BCB,Bencubbin Public Library,80 Monger Street,BENCUBBIN,WA,6477,PO Box 20,BENCUBBIN,WA,6477,9685 1202
P4BEN,Bentley Public Library,,,,,Hedley Place,BENTLEY,WA,6102,9231 0695
P4BEV,Beverley Public Library,Vincent Street,BEVERLEY,WA,6304,PO Box 20,BEVERLEY,WA,6304,9646 1200
P1BRM,Bidyadanga Community Library,,,,,PO Box 634,BROOME,WA,6725,9192 4780
P4BIN,Bindoon Public Library,6177 Great Northern Highway,Bindoon,WA,6502,PO Box 70,BINDOON,WA,6502,9576 4600
P3BOD,Boddington Public Library,,,,,Pollard Street,BODDINGTON,WA,6390,9883 4015
P4BOL,Bolgart Public Library,"Bolgart Memorial Hall, George St",BOLGART,WA,6568,C/- Post Office,BOLGART,WA,6568,9627 5217
P1BYP,Boyanup Public Library,,,,,"Jack & Mary Kitchen Community Centre, Thomas Street",BOYANUP,WA,6237,9731 5639
P1BOY,Boyup Brook Public Library,Abel Street,BOYUP BROOK,WA,6244,PO Box 2,BOYUP BROOK,WA,6244,9765 1200
